# Number of reads:   216,577
# Number of matches: 3,423,452
# Alignment mode:  Classifier
# Classifications: Taxonomy SEED EGGNOG GTDB EC INTERPRO2GO
# Summary:
## @Creator	RMA2Info
## @CreationDate	Wed Feb 03 19:48:50 GMT 2021
## @ContentType	Summary4
## @Names	PGnos_high_hv13-1
## @BlastMode	Classifier
## @Uids	1612366498265
## @Sizes	216577.0
## @TotalReads	216577
## @AdditionalReads	0
## Classifications:
##  Taxonomy (898 classes) SEED (388 classes) EGGNOG (1851 classes) GTDB (533 classes) EC (1322 classes) INTERPRO2GO (3775 classes)
## @Algorithm	Taxonomy	merge
## @Parameters	
## 
# Class to count for 'Taxonomy':
S	156304	63.0
S	516756	1119.0
S	1981069	1.0
G	43668	2.0
G	662	8.0
S	2493119	7.0
C	4762	5.0
S	47770	11.0
S	543379	3.0
-	2685620	32.0
S	12957	4.0
S	670	9.0
-	2630326	2.0
S	471704	58.0
S	144034	7.0
S	219809	6.0
-	156330	19.0
S	4781	2.0
S	1231522	2.0
F	27319	4.0
S	74426	6.0
G	68287	14.0
S	2650774	3.0
S	2751	1.0
-	37567	119.0
S	709323	16.0
-	88770	2.0
S	2756	6.0
S	35525	3.0
D	2759	531.0
F	712	10.0
-	78536	4.0
S	455371	5.0
S	27344	1.0
S	727	11.0
S	729	6.0
S	51930	4.0
-	43738	40.0
S	45788	2.0
-	43741	40.0
-	43742	2.0
S	2665162	1.0
G	150247	2.0
S	2493120	12.0
-	33511	2.0
S	1049336	6.0
S	747	2.0
S	506608	56.0
S	230143	2.0
G	773	744.0
S	2745121	168.0
S	2745120	406.0
S	568069	1.0
S	782	1.0
S	105231	2.0
S	29461	4.0
S	35608	45.0
P	4890	10.0
O	4892	180.0
F	4893	5.0
G	4895	1.0
S	207650	9360.0
S	420645	2.0
S	1219382	4.0
S	1219383	2.0
S	2044729	2.0
G	133925	4.0
S	4903	1.0
F	766764	3.0
-	2620175	1.0
-	246570	2.0
F	1903412	7.0
F	1903414	12.0
S	35628	4.0
F	1903409	10.0
F	1903411	6.0
F	1903410	4.0
G	29487	2.0
-	6960	23.0
S	37682	2.0
S	1078050	1.0
S	2069292	10.0
S	820	2.0
S	2745119	719.0
S	6973	8.0
S	1686310	3057.0
-	117571	48.0
G	4930	5.0
S	13123	4.0
S	837	2.0
-	43845	2.0
G	838	2.0
G	4953	6.0
S	1993540	2.0
-	43871	2.0
S	1485682	2.0
S	2478912	21.0
S	136037	6.0
S	473952	17.0
S	1923959	1.0
S	72556	3.0
S	1203069	1.0
S	66420	29.0
S	2069354	2.0
S	2069353	4.0
S	35703	1.0
S	2069352	71.0
F	27511	2.0
S	2069350	43.0
S	2069348	8.0
S	2069347	1.0
S	2069346	9.0
S	7038	1.0
O	7041	12.0
S	224129	2.0
S	64391	4.0
S	913	2.0
S	109461	852.0
-	721813	2.0
S	7070	38.0
P	203682	2.0
S	35760	2.0
-	314293	4.0
S	877500	2.0
O	5042	2.0
G	1778601	18.0
-	314295	5.0
S	948	26.0
C	91061	351.0
-	197563	6.0
-	197562	165.0
S	86971	319.0
G	5052	7.0
S	2306975	3.0
S	7102	32.0
S	2306973	1.0
S	2050976	564.0
-	1489872	1.0
O	80840	16.0
-	95178	5.0
S	103372	6.0
P	976	6.0
S	1881036	1.0
G	5073	10.0
O	41944	2.0
F	80864	5.0
S	369639	8.0
S	2202564	63.0
S	76775	2.0
S	76777	1.0
O	7147	6.0
S	78828	2.0
S	121845	5.0
S	7160	6.0
G	7164	2.0
-	164860	2.0
S	1852386	2.0
O	5125	2.0
O	84999	7.0
S	609295	14.0
C	84998	11.0
S	318479	2.0
O	85004	10.0
O	85007	4.0
O	85006	6.0
S	1348612	2.0
S	132113	6305.0
F	85015	2.0
S	2419772	11.0
F	85023	6.0
S	218140	6.0
S	82981	2.0
G	82986	2.0
S	35883	7.0
F	7211	8.0
S	35885	4.0
G	7215	20.0
S	7217	2.0
-	2620435	100.0
S	1303590	510.0
S	7227	17.0
S	7229	4.0
S	44093	3.0
S	29760	3.0
S	158787	2.0
S	7234	5.0
-	2231393	107.0
S	7237	4.0
S	7238	1.0
S	7240	4.0
S	1778770	1.0
G	300110	2.0
S	300111	7.0
S	304207	1.0
S	72781	4.0
S	7245	43.0
S	33871	2.0
P	5204	6.0
S	300112	85.0
S	7253	2.0
G	1111	2.0
G	33882	2.0
P	1117	2.0
S	283737	9.0
S	7264	6.0
S	664683	2.0
S	7266	1.0
S	2448451	37.0
-	2231382	162.0
S	158836	4.0
-	3193	2.0
S	1819745	2.0
S	148604	2.0
S	480391	1.0
S	38018	46.0
G	13442	2.0
G	2733229	1326.0
S	623744	2.0
-	2630820	14.0
-	2622653	2.0
S	1176	8.0
S	554131	2.0
F	33958	132.0
G	1985720	4.0
S	2747534	14.0
S	2172043	4.0
S	2094261	10084.0
S	42155	2.0
S	33964	3.0
S	42157	6.0
S	539813	4.0
G	46254	2.0
G	46255	9.0
S	33968	4.0
S	261299	1.0
S	2081964	2.0
-	5302	6.0
-	40120	151.0
S	642227	2.0
S	1871066	4.0
P	1224	841.0
F	410830	16.0
S	7370	1.0
S	593090	3.0
-	40139	2.0
S	414922	2.0
S	7375	7.0
F	31953	1188.0
O	91347	426.0
C	1236	1091.0
S	2661628	2.0
S	50389	2.0
F	31957	27.0
P	1239	257.0
S	7385	2.0
G	44249	2.0
G	1243	148.0
S	40157	2.0
S	1246	1.0
S	1247	5.0
S	109790	2.0
-	715989	2.0
S	1251	4.0
S	1254	2.0
O	7399	780.0
-	7400	2378.0
F	7402	4.0
F	1268	6.0
F	31989	15.0
S	36087	20.0
S	486640	2.0
-	7422	3.0
S	228604	1.0
S	1280	4.0
S	283909	3.0
S	7425	21.0
G	204037	1.0
S	355587	10.0
-	7434	11779.0
G	1298	2.0
-	68883	2.0
S	42258	2.0
S	91411	97.0
F	1300	10.0
G	1301	15.0
S	64791	22.0
G	34072	1.0
S	64793	8.0
-	451868	2.0
-	451864	106.0
S	1311	8.0
G	7456	18.0
S	1313	2.0
F	32033	4.0
F	7458	1849.0
S	1088818	1.0
S	2008380	2.0
G	7459	2551.0
S	7460	1492.0
S	7461	542.0
S	7462	124.0
S	7463	103.0
S	195883	2.0
-	1922348	2.0
S	2026799	1.0
G	7476	2.0
-	9526	52.0
-	7479	3.0
F	9527	4.0
S	472368	4.0
S	105785	84.0
S	9531	4.0
-	144703	22148.0
-	144706	12.0
S	7493	4.0
S	9541	1.0
G	1350	11.0
C	3398	2.0
F	27974	2.0
S	64838	2.0
-	1437010	7.0
S	1352	3.0
-	7496	165.0
S	1353	2.0
G	27977	30.0
-	70987	12640.0
S	27978	2.0
S	148814	21.0
S	77133	1.0
G	1357	2.0
O	48461	2.0
S	2012495	5.0
S	7515	1.0
S	142686	2.0
S	208223	1.0
S	1267021	116.0
G	1375	2.0
S	218467	18.0
S	5476	1.0
O	7524	4.0
O	1385	18.0
G	1386	15.0
S	40302	895.0
S	77166	3.0
S	392566	2.0
-	83319	50.0
S	13686	11.0
S	2528593	1.0
S	796027	3.0
S	28025	3.0
S	28026	4.0
S	9598	2.0
G	124287	15.0
G	5506	1.0
G	40323	53.0
S	40324	5.0
G	1912216	2.0
S	9606	12.0
S	2233777	4.0
S	1428	4.0
-	2627005	2.0
-	1955251	4.0
F	1240483	503.0
S	1869227	2.0
G	28100	2.0
S	906689	3.0
-	2233839	28.0
S	1852882	2.0
G	32207	2.0
S	1496	15.0
S	597456	320.0
S	189913	14.0
-	2233855	7.0
S	1505	1.0
S	1394175	24.0
S	36330	2.0
-	1437183	96.0
S	28141	5.0
F	255475	2.0
S	1545702	29.0
S	1545701	38.0
S	30195	1012.0
-	1783272	580.0
S	7668	1.0
S	103933	7741.0
-	1783270	2.0
S	34305	36.0
-	1437201	317.0
-	85512	6.0
G	454159	4.0
S	2170413	65.0
O	206351	30.0
G	1193503	4394.0
S	192012	303.0
S	1437190	38.0
S	1394176	35.0
S	669202	4.0
-	32281	5.0
G	5658	2.0
-	185880	4896.0
S	83485	5.0
S	2045441	1.0
P	7711	2.0
O	171549	2.0
S	2045440	3.0
S	44576	1.0
S	220714	3.0
G	1578	9844.0
S	1580	1.0
F	3629	6.0
S	2250255	2.0
S	1584	12.0
G	3633	6.0
S	3634	2.0
S	1587	4.0
G	5683	2.0
C	28211	275.0
S	1590	2.0
C	28216	73.0
S	3641	1.0
S	38457	1.0
G	1193515	2176.0
C	28221	2.0
-	196159	10.0
S	1598	4.0
-	7742	4.0
S	1599	2.0
S	206403	4.0
S	3649	1.0
S	441921	99.0
S	3656	14.0
-	32341	9.0
S	1566286	2.0
S	1631	242.0
S	185949	2.0
S	384602	1.0
S	9823	2.0
-	32351	3.0
-	7776	26.0
G	48736	8.0
S	222816	1.0
-	196198	2.0
G	1637	6.0
-	325217	80.0
-	32358	2.0
S	28264	1.0
-	71275	125.0
-	71274	14.0
F	3700	1.0
G	1654	11.0
S	3702	3.0
S	1655	1.0
G	3705	3.0
S	2020964	2.0
S	2020965	2.0
-	112252	7.0
G	1663	2.0
S	40576	1.0
S	2025114	18.0
S	2025113	10.0
G	1678	12512.0
S	3726	2.0
S	1680	14.0
S	638617	171.0
S	1681	28.0
S	638619	13.0
S	1684	875.0
S	1685	2.0
S	1686	2.0
S	1687	39.0
S	1689	1.0
O	204441	12.0
S	1691	55.0
S	1692	1.0
F	69277	22.0
S	1694	5.0
S	2705033	21.0
O	3744	2.0
S	2705034	13.0
O	204455	2.0
S	81572	2.0
S	1183412	2.0
O	204457	2.0
G	1707	2.0
S	3755	2.0
S	2086576	1.0
G	1716	22.0
S	2713247	5.0
S	2713246	1.0
-	2614943	2.0
F	34489	2.0
-	91835	62.0
-	452284	9.0
-	32443	2.0
S	390841	2.0
-	91836	4.0
S	2666134	4.0
-	2637548	1.0
S	69319	8.0
S	34504	24.0
S	2676448	2.0
S	796356	4.0
S	2676449	10.0
S	1747	2.0
S	1750	2.0
S	175835	2.0
S	2486015	4.0
F	3803	6.0
C	1760	439.0
F	1762	4.0
G	1763	6.0
S	3818	3.0
-	91882	8.0
S	1773	2.0
S	3821	33.0
S	2676440	2.0
-	91888	2.0
S	3827	5.0
S	216816	28.0
S	2676443	2.0
S	1341166	1.0
-	2625236	390.0
S	2676439	6.0
S	120577	2.0
S	487174	2.0
-	995085	6.0
F	77572	33.0
S	3847	2.0
S	3848	8.0
-	716546	62.0
S	2606893	1.0
-	716545	116.0
-	32523	2.0
-	32524	24.0
-	85772	3.0
S	157463	4.0
S	3864	4.0
G	3869	1.0
-	46877	2.0
S	3870	4.0
S	3871	5.0
G	28453	8.0
-	2608897	1502.0
S	3880	2.0
F	1775411	2.0
-	2608905	2.0
G	1839	4.0
S	2705177	3359.0
-	32561	4.0
O	7991	2.0
G	3898	16.0
S	3900	5.0
F	36668	897.0
G	165695	4.0
S	5949	26.0
